,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
5137,7000,7000, 36 months,6.62,214.93,A,A2,2,MORTGAGE,54000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,21.69,Mar-97,0,15,0,28.1,54,5%-9%,10-19,20-40,55-74,58k-85k,145-274,5k-10k
5149,5000,5000, 36 months,7.9,156.46,A,A4,7,RENT,27096.0,Not Verified,Oct-11,Charged Off,debt_consolidation,1.11,Jan-88,0,12,0,4.7,14,5%-9%,10-19,0-20,2-20,31k-58k,145-274,0-5k
5167,10400,10400, 60 months,19.03,269.96,E,E2,5,RENT,27600.0,Verified,Oct-11,Charged Off,car,10.74,Jun-03,0,13,1,42.8,15,17%-21%,10-19,40-60,2-20,31k-58k,145-274,10k-15k
5175,11000,11000, 36 months,11.71,363.84,B,B3,1,MORTGAGE,29232.0,Source Verified,Oct-11,Charged Off,home_improvement,21.02,Oct-07,0,4,0,0.0,6,9%-13%,2-10,0-20,2-20,31k-58k,274-403,10k-15k
5177,12000,12000, 60 months,17.27,299.98,D,D3,10,MORTGAGE,51300.0,Source Verified,Oct-11,Charged Off,small_business,1.64,Oct-92,1,8,0,84.6,62,17%-21%,2-10,80-100,55-74,58k-85k,274-403,10k-15k
5186,24000,24000, 60 months,20.89,647.8,F,F1,10,MORTGAGE,115000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,4.01,Jul-92,1,3,1,66.7,25,21%-24%,2-10,60-80,20-37,112k-140k,531-660,20k-25k
5202,12000,12000, 60 months,9.91,254.44,B,B1,10,MORTGAGE,70008.0,Source Verified,Oct-11,Charged Off,other,8.02,Oct-88,0,11,0,55.6,27,9%-13%,10-19,40-60,20-37,58k-85k,145-274,10k-15k
5208,14000,14000, 60 months,15.96,340.16,C,C5,10,RENT,60000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,12.9,Dec-01,1,8,0,33.4,11,13%-17%,2-10,20-40,2-20,58k-85k,274-403,10k-15k
5212,12000,12000, 60 months,15.96,291.57,C,C5,1,RENT,31200.0,Verified,Oct-11,Charged Off,house,13.31,Dec-95,2,3,0,93.2,8,13%-17%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
5225,2600,2600, 36 months,7.9,81.36,A,A4,3,MORTGAGE,43000.0,Not Verified,Oct-11,Charged Off,other,17.44,Feb-98,0,9,0,59.1,24,5%-9%,2-10,40-60,20-37,31k-58k,14-145,0-5k
5234,5000,5000, 36 months,6.03,152.18,A,A1,10,MORTGAGE,65000.0,Not Verified,Oct-11,Charged Off,credit_card,23.13,Apr-00,0,13,0,39.3,33,5%-9%,10-19,20-40,20-37,58k-85k,145-274,0-5k
5237,14000,14000, 60 months,20.3,373.26,E,E5,10,RENT,44000.0,Verified,Oct-11,Charged Off,credit_card,19.83,Jan-96,1,11,0,51.7,44,17%-21%,10-19,40-60,37-55,31k-58k,274-403,10k-15k
5241,10700,10700, 36 months,13.49,363.06,C,C1,7,RENT,60000.0,Verified,Oct-11,Charged Off,debt_consolidation,24.18,Jun-99,3,15,1,55.1,31,13%-17%,10-19,40-60,20-37,58k-85k,274-403,10k-15k
5246,5000,5000, 36 months,11.71,165.38,B,B3,3,RENT,21120.0,Not Verified,Oct-11,Charged Off,debt_consolidation,19.15,Aug-06,0,6,0,76.8,10,9%-13%,2-10,60-80,2-20,3k-31k,145-274,0-5k
5249,4000,4000, 36 months,15.27,139.2,C,C4,10,RENT,63700.0,Not Verified,Oct-11,Charged Off,debt_consolidation,9.48,Aug-00,2,13,1,92.8,24,13%-17%,10-19,80-100,20-37,58k-85k,14-145,0-5k
5250,20000,20000, 60 months,17.27,499.96,D,D3,4,OWN,40000.0,Verified,Oct-11,Charged Off,small_business,19.76,Jan-04,1,11,0,37.9,20,17%-21%,10-19,20-40,20-37,31k-58k,403-531,15k-20k
5264,5000,5000, 36 months,12.69,167.73,B,B5,4,RENT,32000.0,Source Verified,Oct-11,Charged Off,other,9.38,Sep-07,2,9,0,53.2,11,9%-13%,2-10,40-60,2-20,31k-58k,145-274,0-5k
5270,10000,10000, 60 months,9.91,212.03,B,B1,10,MORTGAGE,105996.0,Not Verified,Oct-11,Charged Off,debt_consolidation,12.87,Oct-79,0,12,0,73.5,34,9%-13%,10-19,60-80,20-37,112k-140k,145-274,5k-10k
5278,10800,10800, 36 months,16.29,381.25,D,D1,9,RENT,75000.0,Source Verified,Oct-11,Charged Off,other,5.08,Jul-03,1,7,0,69.0,17,13%-17%,2-10,60-80,2-20,85k-112k,274-403,10k-15k
5281,24000,24000, 60 months,10.65,517.64,B,B2,5,MORTGAGE,42000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,8.94,Nov-98,0,7,0,57.2,26,9%-13%,2-10,40-60,20-37,31k-58k,403-531,20k-25k
5283,35000,35000, 60 months,19.91,925.54,E,E4,10,MORTGAGE,69000.0,Verified,Oct-11,Charged Off,debt_consolidation,23.18,Jul-96,1,11,0,64.7,19,17%-21%,10-19,60-80,2-20,58k-85k,918-1047,30k-35k
5289,25450,25450, 60 months,21.67,698.14,F,F3,9,RENT,50000.0,Verified,Oct-11,Charged Off,debt_consolidation,18.0,Aug-98,1,11,0,49.5,24,21%-24%,10-19,40-60,20-37,58k-85k,660-789,25k-30k
5293,6000,6000, 36 months,12.42,200.5,B,B4,3,RENT,45600.0,Not Verified,Oct-11,Charged Off,major_purchase,10.63,Nov-06,3,5,0,8.8,6,9%-13%,2-10,0-20,2-20,31k-58k,145-274,5k-10k
5302,5000,5000, 36 months,6.62,153.52,A,A2,0,RENT,90000.0,Source Verified,Oct-11,Charged Off,small_business,4.32,Mar-04,1,6,0,26.8,11,5%-9%,2-10,20-40,2-20,85k-112k,145-274,0-5k
5305,5000,5000, 36 months,9.91,161.13,B,B1,2,RENT,25000.0,Not Verified,Oct-11,Charged Off,other,7.34,Feb-99,1,19,0,0.0,29,9%-13%,19-27,0-20,20-37,3k-31k,145-274,0-5k
5308,19400,19400, 60 months,20.89,523.64,F,F1,6,MORTGAGE,70000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,18.19,Jan-02,1,7,0,71.7,15,21%-24%,2-10,60-80,2-20,58k-85k,403-531,15k-20k
5309,3600,3600, 60 months,17.27,90.0,D,D3,10,OWN,20000.0,Verified,Oct-11,Charged Off,debt_consolidation,14.34,Aug-04,0,4,1,74.9,6,17%-21%,2-10,60-80,2-20,3k-31k,14-145,0-5k
5312,18000,18000, 60 months,12.42,404.24,B,B4,0,MORTGAGE,79000.0,Verified,Oct-11,Charged Off,debt_consolidation,14.89,Jun-96,0,8,0,42.0,25,9%-13%,2-10,40-60,20-37,85k-112k,403-531,15k-20k
5321,3000,3000, 60 months,10.65,64.71,B,B2,10,MORTGAGE,25500.0,Not Verified,Oct-11,Charged Off,home_improvement,24.28,Oct-99,0,5,0,82.3,16,9%-13%,2-10,80-100,2-20,3k-31k,14-145,0-5k
5322,10300,10300, 36 months,16.29,363.6,D,D1,1,MORTGAGE,26400.0,Not Verified,Oct-11,Charged Off,debt_consolidation,12.86,Jun-05,2,6,0,93.4,7,13%-17%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
5345,4800,4800, 36 months,12.42,160.4,B,B4,5,MORTGAGE,69600.0,Not Verified,Oct-11,Charged Off,home_improvement,15.36,Sep-00,2,11,0,80.9,22,9%-13%,10-19,80-100,20-37,58k-85k,145-274,0-5k
5353,14000,14000, 60 months,7.9,283.2,A,A4,9,MORTGAGE,70000.0,Verified,Oct-11,Charged Off,debt_consolidation,20.31,Nov-97,0,11,0,26.5,36,5%-9%,10-19,20-40,20-37,58k-85k,274-403,10k-15k
5365,20400,20400, 60 months,14.65,481.58,C,C3,6,RENT,80800.0,Verified,Oct-11,Charged Off,debt_consolidation,10.38,Dec-96,2,8,0,41.0,28,13%-17%,2-10,40-60,20-37,85k-112k,403-531,20k-25k
5366,25000,25000, 36 months,7.51,777.78,A,A3,5,MORTGAGE,90111.0,Verified,Oct-11,Charged Off,debt_consolidation,20.27,Dec-86,0,12,0,46.8,38,5%-9%,10-19,40-60,37-55,85k-112k,660-789,20k-25k
5378,13100,13100, 60 months,19.03,340.04,E,E2,3,RENT,40000.0,Source Verified,Oct-11,Charged Off,credit_card,20.97,Nov-95,2,13,0,87.8,28,17%-21%,10-19,80-100,20-37,31k-58k,274-403,10k-15k
5385,3800,3800, 36 months,17.27,136.0,D,D3,4,RENT,21600.0,Source Verified,Oct-11,Charged Off,debt_consolidation,12.17,Jul-08,0,4,0,75.7,6,17%-21%,2-10,60-80,2-20,3k-31k,14-145,0-5k
5396,5000,5000, 36 months,13.49,169.66,C,C1,7,RENT,44000.0,Source Verified,Oct-11,Charged Off,credit_card,15.82,Dec-05,0,9,0,30.9,13,13%-17%,2-10,20-40,2-20,31k-58k,145-274,0-5k
5407,20000,20000, 60 months,15.96,485.94,C,C5,0,RENT,104000.0,Verified,Oct-11,Charged Off,medical,21.87,Dec-94,2,15,0,51.0,31,13%-17%,10-19,40-60,20-37,112k-140k,403-531,15k-20k
5409,8700,8700, 60 months,18.25,222.11,D,D5,10,RENT,66000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,6.02,Mar-83,2,24,0,21.9,50,17%-21%,19-27,20-40,37-55,58k-85k,145-274,5k-10k
5410,6450,6450, 60 months,18.25,164.67,D,D5,10,MORTGAGE,80000.0,Verified,Oct-11,Charged Off,other,23.52,May-85,2,18,0,62.8,37,17%-21%,10-19,60-80,37-55,85k-112k,145-274,5k-10k
5420,3675,3675, 36 months,10.65,119.71,B,B2,0,MORTGAGE,45000.0,Not Verified,Oct-11,Charged Off,credit_card,16.72,Jan-05,0,9,1,60.7,13,9%-13%,2-10,60-80,2-20,31k-58k,14-145,0-5k
5427,7200,7200, 60 months,19.91,190.4,E,E4,6,RENT,69000.0,Verified,Oct-11,Charged Off,house,4.21,Mar-96,0,3,0,85.8,30,17%-21%,2-10,80-100,20-37,58k-85k,145-274,5k-10k
5435,6000,6000, 36 months,13.49,203.59,C,C1,1,RENT,41600.0,Verified,Oct-11,Charged Off,credit_card,21.0,Nov-00,1,15,0,78.8,27,13%-17%,10-19,60-80,20-37,31k-58k,145-274,5k-10k
5440,31000,31000, 60 months,9.91,657.29,B,B1,10,MORTGAGE,56472.0,Verified,Oct-11,Charged Off,debt_consolidation,9.48,Jul-78,0,6,0,47.1,22,9%-13%,2-10,40-60,20-37,58k-85k,531-660,30k-35k
5452,4000,4000, 36 months,16.29,141.21,D,D1,10,OWN,17640.0,Verified,Oct-11,Charged Off,debt_consolidation,13.95,Dec-00,3,3,1,88.3,9,13%-17%,2-10,80-100,2-20,3k-31k,14-145,0-5k
5457,35000,35000, 60 months,18.64,901.01,E,E1,10,MORTGAGE,90000.0,Verified,Oct-11,Charged Off,debt_consolidation,4.19,Dec-93,1,6,0,64.2,13,17%-21%,2-10,60-80,2-20,85k-112k,789-918,30k-35k
5459,34000,34000, 60 months,19.42,889.86,E,E3,6,MORTGAGE,65000.0,Verified,Oct-11,Charged Off,debt_consolidation,17.26,Aug-01,0,9,0,90.7,18,17%-21%,2-10,80-100,2-20,58k-85k,789-918,30k-35k
5462,5000,5000, 36 months,10.65,162.87,B,B2,10,OWN,27000.0,Verified,Oct-11,Charged Off,debt_consolidation,20.22,Mar-96,1,6,0,27.8,21,9%-13%,2-10,20-40,20-37,31k-58k,145-274,0-5k
5470,15000,15000, 60 months,19.03,389.36,E,E2,10,MORTGAGE,54000.0,Verified,Oct-11,Charged Off,debt_consolidation,18.31,Feb-96,1,10,1,91.5,14,17%-21%,2-10,80-100,2-20,58k-85k,274-403,10k-15k
5473,13000,13000, 60 months,19.03,337.45,E,E2,5,RENT,70596.0,Source Verified,Oct-11,Charged Off,other,7.84,Nov-98,2,11,0,58.7,16,17%-21%,10-19,40-60,2-20,58k-85k,274-403,10k-15k
5479,30000,30000, 60 months,22.74,841.24,G,G1,10,MORTGAGE,95000.0,Verified,Oct-11,Charged Off,small_business,18.53,Jul-01,2,19,0,54.1,43,21%-24%,19-27,40-60,37-55,112k-140k,789-918,25k-30k
5489,35000,35000, 60 months,12.42,786.01,B,B4,5,MORTGAGE,103200.0,Verified,Oct-11,Charged Off,wedding,8.84,Jul-04,0,8,0,2.5,14,9%-13%,2-10,0-20,2-20,112k-140k,660-789,30k-35k
5499,4800,4800, 36 months,16.29,169.45,D,D1,10,RENT,35000.0,Not Verified,Oct-11,Charged Off,other,24.31,Feb-00,1,3,0,99.9,25,13%-17%,2-10,80-100,20-37,31k-58k,145-274,0-5k
5501,3400,3400, 36 months,16.29,120.03,D,D1,1,RENT,32004.0,Not Verified,Oct-11,Charged Off,other,15.37,Apr-82,0,4,0,99.3,13,13%-17%,2-10,80-100,2-20,31k-58k,14-145,0-5k
5511,12000,12000, 60 months,19.91,317.33,E,E4,10,MORTGAGE,85000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,24.96,May-99,2,13,1,95.9,25,17%-21%,10-19,80-100,20-37,85k-112k,274-403,10k-15k
5514,35000,35000, 60 months,14.27,819.3,C,C2,10,MORTGAGE,80000.0,Source Verified,Oct-11,Charged Off,small_business,15.45,Jul-98,1,20,0,24.5,39,13%-17%,19-27,20-40,37-55,85k-112k,789-918,30k-35k
5532,12000,12000, 60 months,18.64,308.92,E,E1,4,RENT,82000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,11.27,Dec-79,2,11,0,89.9,16,17%-21%,10-19,80-100,2-20,85k-112k,274-403,10k-15k
5552,13200,13200, 60 months,21.28,359.19,F,F2,1,MORTGAGE,65000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,12.61,Jan-96,3,8,0,68.3,16,21%-24%,2-10,60-80,2-20,58k-85k,274-403,10k-15k
5572,7000,7000, 36 months,6.62,214.93,A,A2,2,RENT,42000.0,Source Verified,Oct-11,Charged Off,home_improvement,2.31,Oct-04,0,7,0,20.3,10,5%-9%,2-10,20-40,2-20,31k-58k,145-274,5k-10k
5593,15000,15000, 36 months,8.9,476.3,A,A5,3,MORTGAGE,50400.0,Verified,Oct-11,Charged Off,debt_consolidation,9.6,Nov-99,2,11,0,30.8,32,5%-9%,10-19,20-40,20-37,58k-85k,403-531,10k-15k
5594,6000,6000, 36 months,15.96,210.83,C,C5,5,RENT,48996.0,Not Verified,Oct-11,Charged Off,other,17.59,Feb-00,3,10,0,67.6,22,13%-17%,2-10,60-80,20-37,58k-85k,145-274,5k-10k
5599,18200,18200, 60 months,20.3,485.24,E,E5,9,RENT,55000.0,Verified,Oct-11,Charged Off,debt_consolidation,23.91,Dec-93,0,9,0,64.2,22,17%-21%,2-10,60-80,20-37,58k-85k,403-531,15k-20k
5603,21000,21000, 60 months,22.74,588.87,G,G1,1,MORTGAGE,61400.0,Verified,Oct-11,Charged Off,debt_consolidation,21.21,Dec-96,1,14,0,70.8,42,21%-24%,10-19,60-80,37-55,58k-85k,531-660,20k-25k
5605,35000,35000, 60 months,14.27,819.3,C,C2,10,RENT,85000.0,Verified,Oct-11,Charged Off,debt_consolidation,7.93,Jun-97,2,7,0,74.5,33,13%-17%,2-10,60-80,20-37,85k-112k,789-918,30k-35k
5616,10800,10800, 36 months,16.77,383.82,D,D2,6,RENT,63000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,18.23,Nov-94,2,11,0,59.5,16,13%-17%,10-19,40-60,2-20,58k-85k,274-403,10k-15k
5617,30000,30000, 60 months,11.71,662.95,B,B3,3,MORTGAGE,82000.0,Source Verified,Oct-11,Charged Off,other,0.22,Apr-94,0,6,0,2.5,14,9%-13%,2-10,0-20,2-20,85k-112k,660-789,25k-30k
5618,6000,6000, 36 months,11.71,198.46,B,B3,0,MORTGAGE,72000.0,Not Verified,Oct-11,Charged Off,home_improvement,16.18,Oct-91,2,9,0,45.5,20,9%-13%,2-10,40-60,20-37,85k-112k,145-274,5k-10k
5624,2000,2000, 36 months,12.69,67.09,B,B5,10,MORTGAGE,52645.0,Not Verified,Oct-11,Charged Off,other,12.47,Apr-01,0,5,0,46.9,18,9%-13%,2-10,40-60,2-20,58k-85k,14-145,0-5k
5638,12000,12000, 36 months,12.69,402.54,B,B5,4,MORTGAGE,32000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,10.39,Sep-98,3,6,0,53.4,16,9%-13%,2-10,40-60,2-20,31k-58k,403-531,10k-15k
5653,30750,30750, 60 months,22.35,855.42,F,F5,0,RENT,77000.0,Verified,Oct-11,Charged Off,debt_consolidation,23.47,May-02,3,3,0,65.8,8,21%-24%,2-10,60-80,2-20,85k-112k,789-918,30k-35k
5654,16400,16400, 60 months,16.77,405.56,D,D2,10,MORTGAGE,75000.0,Verified,Oct-11,Charged Off,debt_consolidation,9.38,Apr-97,2,16,0,47.3,37,13%-17%,10-19,40-60,37-55,85k-112k,403-531,15k-20k
5655,18000,18000, 60 months,12.42,404.24,B,B4,1,OWN,30000.0,Verified,Oct-11,Charged Off,other,4.4,Jun-90,1,7,0,25.6,21,9%-13%,2-10,20-40,20-37,31k-58k,403-531,15k-20k
5656,8400,8400, 36 months,14.65,289.76,C,C3,4,MORTGAGE,100000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,18.16,Jun-02,1,9,0,88.5,15,13%-17%,2-10,80-100,2-20,112k-140k,274-403,5k-10k
5661,21600,21600, 36 months,13.49,732.9,C,C1,5,RENT,60000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,9.66,Jun-05,1,10,0,38.5,15,13%-17%,2-10,20-40,2-20,58k-85k,660-789,20k-25k
5663,35000,35000, 60 months,13.49,805.17,C,C1,0,MORTGAGE,80000.0,Source Verified,Oct-11,Charged Off,medical,10.92,Sep-93,2,13,0,45.1,31,13%-17%,10-19,40-60,20-37,85k-112k,789-918,30k-35k
5666,35000,35000, 60 months,20.3,933.14,E,E5,2,MORTGAGE,81600.0,Verified,Oct-11,Charged Off,debt_consolidation,15.29,Apr-98,1,17,0,76.0,44,17%-21%,10-19,60-80,37-55,85k-112k,918-1047,30k-35k
5674,15000,15000, 60 months,19.91,396.66,E,E4,2,MORTGAGE,61000.0,Not Verified,Oct-11,Charged Off,credit_card,18.12,Jul-87,2,11,0,95.2,31,17%-21%,10-19,80-100,20-37,58k-85k,274-403,10k-15k
5689,8500,8500, 36 months,14.65,293.21,C,C3,5,MORTGAGE,45000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,21.47,Nov-06,2,9,0,48.9,12,13%-17%,2-10,40-60,2-20,31k-58k,274-403,5k-10k
5701,25000,25000, 60 months,18.25,638.25,D,D5,10,MORTGAGE,62000.0,Verified,Oct-11,Charged Off,debt_consolidation,18.64,Mar-98,1,12,0,81.6,42,17%-21%,10-19,80-100,37-55,58k-85k,531-660,20k-25k
5707,19200,19200, 60 months,11.71,424.29,B,B3,1,RENT,48000.0,Verified,Oct-11,Charged Off,small_business,5.55,Jan-05,0,8,0,37.4,19,9%-13%,2-10,20-40,2-20,31k-58k,403-531,15k-20k
5710,8000,8000, 36 months,14.27,274.48,C,C2,5,MORTGAGE,66000.0,Not Verified,Oct-11,Charged Off,home_improvement,2.11,Oct-81,1,11,0,0.0,18,13%-17%,10-19,0-20,2-20,58k-85k,274-403,5k-10k
5713,13200,13200, 60 months,14.27,309.0,C,C2,10,MORTGAGE,40000.0,Verified,Oct-11,Charged Off,debt_consolidation,5.19,Jan-00,0,8,0,52.1,21,13%-17%,2-10,40-60,20-37,31k-58k,274-403,10k-15k
5716,2000,2000, 36 months,7.51,62.23,A,A3,4,RENT,18000.0,Not Verified,Oct-11,Charged Off,other,16.73,Jul-04,0,5,0,33.2,20,5%-9%,2-10,20-40,20-37,3k-31k,14-145,0-5k
5718,25000,25000, 60 months,22.35,695.46,F,F5,6,MORTGAGE,100000.0,Verified,Oct-11,Charged Off,credit_card,11.84,Jul-99,0,10,0,83.0,19,21%-24%,2-10,80-100,2-20,112k-140k,660-789,20k-25k
5720,16000,16000, 60 months,19.03,415.32,E,E2,8,RENT,70720.0,Verified,Oct-11,Charged Off,small_business,5.35,Nov-98,1,4,0,98.7,14,17%-21%,2-10,80-100,2-20,85k-112k,403-531,15k-20k
5722,20000,20000, 60 months,21.28,544.23,F,F2,10,MORTGAGE,74000.0,Verified,Oct-11,Charged Off,debt_consolidation,22.69,Mar-94,1,11,0,79.9,41,21%-24%,10-19,60-80,37-55,85k-112k,531-660,15k-20k
5724,24000,24000, 60 months,21.67,658.36,F,F3,10,RENT,65642.0,Verified,Oct-11,Charged Off,credit_card,19.03,Mar-88,0,16,0,73.2,33,21%-24%,10-19,60-80,20-37,58k-85k,531-660,20k-25k
5726,12000,12000, 36 months,12.69,402.54,B,B5,3,RENT,64000.0,Verified,Oct-11,Charged Off,debt_consolidation,24.53,Dec-04,1,5,0,21.2,6,9%-13%,2-10,20-40,2-20,58k-85k,403-531,10k-15k
5730,6000,6000, 36 months,11.71,198.46,B,B3,6,RENT,47000.0,Not Verified,Oct-11,Charged Off,credit_card,19.69,Oct-02,1,19,0,28.8,27,9%-13%,19-27,20-40,20-37,31k-58k,145-274,5k-10k
5742,35000,35000, 60 months,22.74,981.45,G,G1,4,MORTGAGE,113500.0,Verified,Oct-11,Charged Off,debt_consolidation,23.25,May-90,1,19,1,97.2,39,21%-24%,19-27,80-100,37-55,112k-140k,918-1047,30k-35k
5772,19200,19200, 60 months,18.25,490.17,D,D5,2,RENT,75000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,21.92,Jun-99,2,10,0,94.6,39,17%-21%,2-10,80-100,37-55,85k-112k,403-531,15k-20k
5774,18000,18000, 36 months,7.51,560.0,A,A3,7,RENT,115000.0,Verified,Oct-11,Charged Off,other,12.22,Apr-96,0,9,0,65.5,31,5%-9%,2-10,60-80,20-37,112k-140k,531-660,15k-20k
5783,5000,5000, 36 months,12.42,167.08,B,B4,10,RENT,57000.0,Source Verified,Oct-11,Charged Off,moving,13.89,Jan-93,3,13,0,23.9,14,9%-13%,10-19,20-40,2-20,58k-85k,145-274,0-5k
5787,18500,18500, 36 months,7.9,578.87,A,A4,0,RENT,85000.0,Verified,Oct-11,Charged Off,wedding,12.83,Dec-95,1,12,0,24.5,30,5%-9%,10-19,20-40,20-37,85k-112k,531-660,15k-20k
5795,6250,6250, 60 months,12.42,140.36,B,B4,1,RENT,16000.0,Source Verified,Oct-11,Charged Off,small_business,17.4,Apr-93,0,5,0,45.1,14,9%-13%,2-10,40-60,2-20,3k-31k,14-145,5k-10k
5798,7000,7000, 36 months,7.51,217.78,A,A3,10,OWN,22800.0,Not Verified,Oct-11,Charged Off,other,22.05,May-98,1,8,0,35.1,20,5%-9%,2-10,20-40,20-37,3k-31k,145-274,5k-10k
5804,8000,8000, 36 months,16.77,284.31,D,D2,5,MORTGAGE,65000.0,Verified,Oct-11,Charged Off,debt_consolidation,3.01,Jul-07,1,5,0,94.6,8,13%-17%,2-10,80-100,2-20,58k-85k,274-403,5k-10k
5806,15000,15000, 60 months,14.27,351.13,C,C2,9,MORTGAGE,55000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,8.09,Apr-89,0,2,0,88.5,9,13%-17%,2-10,80-100,2-20,58k-85k,274-403,10k-15k
5825,8875,8875, 36 months,7.9,277.71,A,A4,10,MORTGAGE,58044.0,Source Verified,Oct-11,Charged Off,debt_consolidation,19.43,Dec-98,3,11,0,43.2,30,5%-9%,10-19,40-60,20-37,58k-85k,274-403,5k-10k
5835,5000,5000, 36 months,8.9,158.77,A,A5,0,RENT,41000.0,Source Verified,Oct-11,Charged Off,credit_card,8.78,Oct-03,1,6,0,87.1,13,5%-9%,2-10,80-100,2-20,31k-58k,145-274,0-5k
5858,17000,17000, 60 months,11.71,375.67,B,B3,10,RENT,65000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,16.3,Dec-01,0,12,0,48.0,29,9%-13%,10-19,40-60,20-37,58k-85k,274-403,15k-20k
5863,25000,25000, 60 months,21.67,685.8,F,F3,10,MORTGAGE,66000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,12.75,Oct-97,0,10,0,76.8,17,21%-24%,2-10,60-80,2-20,58k-85k,660-789,20k-25k
5865,2500,2500, 36 months,16.77,88.85,D,D2,2,RENT,42000.0,Not Verified,Oct-11,Charged Off,other,3.8,Oct-01,1,3,0,47.5,8,13%-17%,2-10,40-60,2-20,31k-58k,14-145,0-5k
5866,3000,3000, 36 months,14.27,102.93,C,C2,10,MORTGAGE,80000.0,Not Verified,Oct-11,Charged Off,medical,20.01,Apr-98,1,10,1,85.1,22,13%-17%,2-10,80-100,20-37,85k-112k,14-145,0-5k
5867,5200,5200, 60 months,17.27,129.99,D,D3,1,RENT,36000.0,Source Verified,Oct-11,Charged Off,credit_card,19.4,Dec-98,3,11,0,60.3,23,17%-21%,10-19,60-80,20-37,31k-58k,14-145,0-5k
5900,10000,10000, 60 months,19.03,259.58,E,E2,9,RENT,60000.0,Source Verified,Oct-11,Charged Off,moving,23.12,Mar-00,0,9,0,31.3,13,17%-21%,2-10,20-40,2-20,58k-85k,145-274,5k-10k
5904,18000,18000, 60 months,17.58,452.98,D,D4,6,OWN,65000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,22.73,Mar-00,3,13,0,64.1,39,17%-21%,10-19,60-80,37-55,58k-85k,403-531,15k-20k
5926,4500,4500, 36 months,12.42,150.37,B,B4,10,RENT,62000.0,Source Verified,Oct-11,Charged Off,other,15.23,Mar-02,0,7,0,70.3,13,9%-13%,2-10,60-80,2-20,58k-85k,145-274,0-5k
5930,18000,18000, 36 months,12.69,603.81,B,B5,3,MORTGAGE,85000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,14.33,Jul-00,2,7,0,66.9,30,9%-13%,2-10,60-80,20-37,85k-112k,531-660,15k-20k
5932,12000,12000, 60 months,13.49,276.06,C,C1,2,RENT,32400.0,Not Verified,Oct-11,Charged Off,debt_consolidation,16.22,Jun-02,1,8,0,48.2,15,13%-17%,2-10,40-60,2-20,31k-58k,274-403,10k-15k
5957,8500,8500, 36 months,12.42,284.03,B,B4,3,MORTGAGE,62400.0,Verified,Oct-11,Charged Off,debt_consolidation,8.94,Aug-01,0,5,0,98.9,11,9%-13%,2-10,80-100,2-20,58k-85k,274-403,5k-10k
5964,21250,21250, 60 months,24.11,612.68,G,G5,5,RENT,80000.0,Verified,Oct-11,Charged Off,debt_consolidation,22.59,Oct-03,0,15,0,98.2,24,21%-24%,10-19,80-100,20-37,85k-112k,531-660,20k-25k
5967,16000,16000, 60 months,13.49,368.08,C,C1,10,RENT,33000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,18.36,Oct-98,1,6,0,33.5,21,13%-17%,2-10,20-40,20-37,31k-58k,274-403,15k-20k
5968,16000,16000, 60 months,16.29,391.56,D,D1,10,MORTGAGE,66000.0,Verified,Oct-11,Charged Off,small_business,28.53,Jun-94,6,7,0,92.4,22,13%-17%,2-10,80-100,20-37,58k-85k,274-403,15k-20k
5982,24000,24000, 60 months,14.65,566.56,C,C3,10,MORTGAGE,100000.0,Verified,Oct-11,Charged Off,credit_card,18.85,Jan-99,3,6,0,71.8,29,13%-17%,2-10,60-80,20-37,112k-140k,531-660,20k-25k
5984,2400,2400, 36 months,17.58,86.27,D,D4,10,MORTGAGE,31200.0,Source Verified,Oct-11,Charged Off,medical,6.31,Sep-94,2,4,0,98.3,7,17%-21%,2-10,80-100,2-20,31k-58k,14-145,0-5k
